,area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,city,locality,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count,division,zone
21226,1200.0,Apartment,Residential,3.0,3.0,6000000.0,Dhaka,Mirpur,0,0,0,0,0,0,0,Dhaka,Mirpur
21227,1800.0,Apartment,Residential,3.0,3.0,9540000.0,Dhaka,Mirpur,0,0,0,0,0,0,0,Dhaka,Mirpur
21228,3000.0,Apartment,Residential,4.0,4.0,36000000.0,Dhaka,Gulshan 1,0,0,0,0,0,0,0,Dhaka,Gulshan
21230,1900.0,Apartment,Residential,4.0,3.0,15200000.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21241,1435.0,Apartment,Residential,3.0,3.0,8610000.0,Dhaka,Ramna,0,0,0,0,0,0,0,Dhaka,Ramna
21242,1727.0,Apartment,Residential,3.0,3.0,17270000.0,Dhaka,Ramna,0,0,0,0,0,0,0,Dhaka,Ramna
21243,1695.0,Apartment,Residential,4.0,4.0,17500875.0,Dhaka,Paltan,0,0,0,0,0,0,0,Dhaka,Motijheel
21264,1450.0,Apartment,Residential,3.0,3.0,7975000.0,Dhaka,Aftabnagar,0,0,0,0,0,0,0,Dhaka,Khilgaon
21265,2467.0,Apartment,Residential,4.0,4.0,16528900.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21266,1500.0,Apartment,Residential,4.0,3.0,10005000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21267,1044.0,Apartment,Residential,2.0,3.0,5000760.0,Dhaka,Adabor,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21268,2100.0,Apartment,Residential,4.0,4.0,12597900.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21269,1500.0,Apartment,Residential,3.0,3.0,9199500.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21270,1630.0,Apartment,Residential,3.0,3.0,13040000.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21271,1400.0,Apartment,Residential,3.0,3.0,10999800.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21273,1650.0,Apartment,Residential,3.0,3.0,11880000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21275,1000.0,Apartment,Residential,3.0,3.0,4500000.0,Dhaka,Mohammadpur ,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21277,1450.0,Apartment,Residential,3.0,3.0,9425000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21278,1900.0,Apartment,Residential,4.0,4.0,9500000.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21279,1700.0,Apartment,Residential,4.0,3.0,15130000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21280,1735.0,Apartment,Residential,4.0,3.0,12599570.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21281,2232.0,Apartment,Residential,3.0,3.0,16740000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21282,1975.0,Apartment,Residential,3.0,3.0,13825000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21283,1650.0,Apartment,Residential,3.0,3.0,13200000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21284,2600.0,Apartment,Residential,4.0,4.0,20800000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21286,1530.0,Apartment,Residential,3.0,3.0,10098000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21287,1643.0,Apartment,Residential,3.0,3.0,12322500.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21297,1200.0,Apartment,Residential,3.0,3.0,8000400.0,Dhaka,Mirpur,0,0,0,0,0,0,0,Dhaka,Mirpur
21298,1550.0,Apartment,Residential,3.0,3.0,10499994.5,Dhaka,Pallabi ,0,0,0,0,0,0,0,Dhaka,Mirpur
21299,2248.0,Apartment,Residential,3.0,3.0,36001720.0,Dhaka,DOHS Mirpur,0,0,0,0,0,0,0,Dhaka,Mirpur
21300,1700.0,Apartment,Residential,4.0,4.0,14450000.0,Dhaka,Mohammadpur ,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21301,830.0,Apartment,Residential,2.0,2.0,4649660.0,Dhaka,Mohammadpur ,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21302,1450.0,Apartment,Residential,3.0,3.0,7250000.0,Dhaka,Badda,0,0,0,0,0,0,0,Dhaka,Badda
21304,975.0,Apartment,Residential,3.0,2.0,8500050.0,Dhaka,Aftabnagar,0,0,0,0,0,0,0,Dhaka,Khilgaon
21305,1500.0,Apartment,Residential,3.0,3.0,3900000.0,Dhaka,Dhanmondi,0,0,0,0,0,0,0,Dhaka,Dhanmondi
21323,1050.0,Apartment,Residential,4.0,3.0,4200000.0,Dhaka,Mohammadpur ,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21324,2254.0,Apartment,Residential,4.0,4.0,27048000.0,Dhaka,Paltan,0,0,0,0,0,0,0,Dhaka,Motijheel
21325,1677.0,Apartment,Residential,3.0,3.0,13416000.0,Dhaka,Mohammadpur ,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21326,1650.0,Apartment,Residential,3.0,3.0,13200000.0,Dhaka,Paltan,0,0,0,0,0,0,0,Dhaka,Motijheel
21327,1450.0,Apartment,Residential,2.0,3.0,8501350.0,Dhaka,Adabor,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21328,1650.0,Apartment,Residential,3.0,4.0,5940000.0,Dhaka,Mohammadpur ,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21329,1470.0,Apartment,Residential,3.0,3.0,10290000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21330,2400.0,Apartment,Residential,4.0,4.0,24000000.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21331,1553.0,Apartment,Residential,4.0,3.0,7765000.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21332,1320.0,Apartment,Residential,3.0,3.0,6499680.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21347,850.0,Apartment,Residential,2.0,2.0,4500750.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21356,1000.0,Apartment,Residential,2.0,2.0,4445000.0,Dhaka,Banashree,0,0,0,0,0,0,0,Dhaka,Khilgaon
21359,1900.0,Apartment,Residential,3.0,4.0,10450000.0,Dhaka,Mohammadpur ,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21360,1550.0,Apartment,Residential,4.0,3.0,7750000.0,Dhaka,Mohammadpur ,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21361,1300.0,Apartment,Residential,3.0,3.0,7930000.0,Dhaka,Mohammadpur ,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21363,1595.0,Apartment,Residential,3.0,3.0,11962500.0,Dhaka,Mohammadpur ,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21364,1900.0,Apartment,Residential,3.0,4.0,24700000.0,Dhaka,Ramna,0,0,0,0,0,0,0,Dhaka,Ramna
21365,2000.0,Apartment,Residential,5.0,4.0,15000000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21367,1400.0,Apartment,Residential,3.0,2.0,9800000.0,Dhaka,Mohammadpur ,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21368,1020.0,Apartment,Residential,2.0,3.0,5100000.0,Dhaka,Mohammadpur ,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21374,1350.0,Apartment,Residential,4.0,4.0,6615000.0,Dhaka,Mohammadpur ,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21390,1863.0,Apartment,Residential,3.0,3.0,19561500.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21391,950.0,Apartment,Residential,2.0,3.0,3040000.0,Dhaka,Banashree,0,0,0,0,0,0,0,Dhaka,Khilgaon
21392,850.0,Apartment,Residential,2.0,2.0,7437500.0,Dhaka,Nikunja,0,0,0,0,0,0,0,Dhaka,Khilkhet
21394,1170.0,Apartment,Residential,3.0,3.0,8073000.0,Dhaka,Nikunja,0,0,0,0,0,0,0,Dhaka,Khilkhet
21395,1625.0,Apartment,Residential,3.0,3.0,10725000.0,Dhaka,Kalabagan,0,0,0,0,0,0,0,Dhaka,Hatirpool
21396,1550.0,Apartment,Residential,3.0,3.0,11998550.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21397,1800.0,Apartment,Residential,4.0,3.0,14400000.0,Dhaka,Baridhara,0,0,0,0,0,0,0,Dhaka,Gulshan
21398,1285.0,Apartment,Residential,3.0,3.0,9509000.0,Dhaka,Malibagh,0,0,0,0,0,0,0,Dhaka,Ramna
21399,1311.0,Apartment,Residential,3.0,3.0,6004380.0,Dhaka,Banashree,0,0,0,0,0,0,0,Dhaka,Khilgaon
21407,2350.0,Apartment,Residential,3.0,4.0,29375000.0,Dhaka,DOHS Mirpur,0,0,0,0,0,0,0,Dhaka,Mirpur
21408,1250.0,Apartment,Residential,3.0,3.0,7500000.0,Dhaka,Mohammadpur ,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21409,1200.0,Apartment,Residential,3.0,3.0,6000000.0,Dhaka,Khilgaon,0,0,0,0,0,0,0,Dhaka,Khilgaon
21410,20250.0,Apartment,Residential,4.0,3.0,169998750.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21411,1135.0,Apartment,Residential,2.0,3.0,11500001.6,Dhaka,Banashree,0,0,0,0,0,0,0,Dhaka,Khilgaon
21412,3500.0,Apartment,Residential,4.0,4.0,84999985.0,Dhaka,Gulshan 2,0,0,0,0,0,0,0,Dhaka,Gulshan
21413,973.0,Apartment,Residential,2.0,3.0,4000003.0,Dhaka,Mirpur,0,0,0,0,0,0,0,Dhaka,Mirpur
21414,2200.0,Apartment,Residential,4.0,3.0,18700000.0,Dhaka,Tejgaon,0,0,0,0,0,0,0,Dhaka,Tejgaon
21415,2680.0,Apartment,Residential,3.0,4.0,37699988.8,Dhaka,Banani,0,0,0,0,0,0,0,Dhaka,Banani
21416,1220.0,Apartment,Residential,3.0,3.0,7200000.800000001,Dhaka,Shyamoli,0,0,0,0,0,0,0,Dhaka,Shyamoli
21417,1500.0,Apartment,Residential,3.0,3.0,11250000.0,Dhaka,Khilgaon,0,0,0,0,0,0,0,Dhaka,Khilgaon
21422,1750.0,Apartment,Residential,3.0,3.0,7507500.0,Dhaka,Mohammadpur ,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21423,1900.0,Apartment,Residential,2.0,3.0,16150000.0,Dhaka,Baridhara,0,0,0,0,0,0,0,Dhaka,Gulshan
