,area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,city,locality,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count,division,zone,bedroom_not_applicable,log_area,total_rooms,bath_bed_ratio,area_per_bedroom,total_amenities
18,1002.0,Apartment,Residential,2.0,2.0,6800000.0,Dhaka,Rampura,0,2,2,0,2,0,3,Dhaka,Khilgaon,0,6.910750787961936,4.0,1.0,501.0,9
19,2190.0,Apartment,Residential,3.0,3.0,28000000.0,Dhaka,Uttara,0,1,1,0,1,0,3,Dhaka,Uttara,0,7.692113339595466,6.0,1.0,730.0,6
20,1722.0,Apartment,Residential,0.0,3.0,12000000.0,Dhaka,Turag,0,2,2,0,4,0,4,Dhaka,Turag,0,7.45182223652793,3.0,0.0,574.0,12
21,1758.0,Apartment,Residential,0.0,3.0,12000000.0,Dhaka,Turag,0,2,2,0,4,0,4,Dhaka,Turag,0,7.472500744737558,3.0,0.0,586.0,12
22,1700.0,Apartment,Residential,4.0,4.0,10000000.0,Dhaka,Mirpur,0,2,2,0,2,0,4,Dhaka,Mirpur,0,7.438971592395862,8.0,1.0,425.0,10
23,2000.0,Apartment,Residential,3.0,3.0,22500000.0,Dhaka,Bashundhara R-A,0,2,2,0,4,0,4,Dhaka,Bashundhara R/A,0,7.601402334583733,6.0,1.0,666.6666666666666,12
24,1368.0,Apartment,Residential,3.0,3.0,12000000.0,Dhaka,Shyamoli,0,1,2,0,5,0,3,Dhaka,Shyamoli,0,7.221835825288449,6.0,1.0,456.0,11
25,2318.0,Apartment,Residential,4.0,4.0,21000000.0,Dhaka,Bashundhara R-A,0,1,2,0,3,0,3,Dhaka,Bashundhara R/A,0,7.7488913372555315,8.0,1.0,579.5,9
26,275.0,Office,Commercial,0.0,0.0,9625000.0,Dhaka,Mirpur,0,1,2,0,4,0,4,Dhaka,Mirpur,1,5.62040086571715,0.0,,,11
27,900.0,Apartment,Residential,0.0,2.0,5200000.0,Dhaka,Badda,0,1,2,0,4,0,4,Dhaka,Badda,0,6.803505257608338,2.0,0.0,450.0,11
28,1650.0,Office,Commercial,0.0,0.0,10000000.0,Dhaka,Ibrahimpur,0,2,2,0,2,0,4,Dhaka,Mirpur,1,7.409136443920128,0.0,,,10
29,456.0,Shop,Commercial,0.0,0.0,6000000.0,Dhaka,Dhanmondi,0,1,3,1,4,0,3,Dhaka,Dhanmondi,1,6.124683390894205,0.0,,,12
30,1650.0,Office,Commercial,0.0,0.0,10000000.0,Dhaka,Ibrahimpur,0,2,2,0,2,0,4,Dhaka,Mirpur,1,7.409136443920128,0.0,,,10
31,11200.0,Office,Commercial,0.0,0.0,160000000.0,Dhaka,Mirpur,0,0,0,0,1,0,3,Dhaka,Mirpur,1,9.32375833901174,0.0,,,4
32,3740.0,Office,Commercial,0.0,0.0,35000000.0,Dhaka,Badda,0,2,1,1,2,0,3,Dhaka,Badda,1,8.227108234348146,0.0,,,9
33,700.0,Office,Commercial,0.0,0.0,14000000.0,Dhaka,Mirpur,0,1,2,0,4,0,4,Dhaka,Mirpur,1,6.55250788703459,0.0,,,11
34,1735.0,Apartment,Residential,3.0,4.0,13799999.999999998,Dhaka,Banasree,0,2,3,0,5,0,3,Dhaka,Khilgaon,0,7.459338895220296,7.0,0.75,433.75,13
35,11500.0,Building,Residential,10.0,21.0,81000000.0,Dhaka,Banasree,0,2,1,0,1,0,3,Dhaka,Khilgaon,0,9.350189267092581,31.0,0.47619047619047616,547.6190476190476,7
36,2320.0,Apartment,Residential,0.0,4.0,22000000.0,Dhaka,Bashundhara R-A,0,1,2,0,3,0,3,Dhaka,Bashundhara R/A,0,7.749753406274437,4.0,0.0,580.0,9
37,1132.0,Apartment,Residential,0.0,3.0,8400000.0,Dhaka,Sutrapur,0,1,2,1,4,0,4,Dhaka,Sutrapur,0,7.0326242610280065,3.0,0.0,377.3333333333333,12
38,1550.0,Apartment,Residential,3.0,3.0,12200000.0,Dhaka,Aftab Nagar,0,0,1,0,3,0,3,Dhaka,Khilgaon,0,7.346655163176539,6.0,1.0,516.6666666666666,7
39,1620.0,Apartment,Residential,0.0,4.0,9500000.0,Dhaka,Mohammadpur,0,1,2,1,3,0,4,Dhaka,Mohammadpur,0,7.390798521735676,4.0,0.0,405.0,11
40,3400.0,Apartment,Residential,4.0,4.0,68000000.0,Dhaka,Baridhara,0,2,2,0,4,0,3,Dhaka,Gulshan,0,8.131824785007195,8.0,1.0,850.0,11
41,1550.0,Apartment,Residential,3.0,3.0,12200000.0,Dhaka,Aftab Nagar,0,0,1,0,3,0,3,Dhaka,Khilgaon,0,7.346655163176539,6.0,1.0,516.6666666666666,7
42,1627.0,Apartment,Residential,3.0,3.0,17400000.0,Dhaka,Uttara,0,1,1,0,1,0,3,Dhaka,Uttara,0,7.395107546562485,6.0,1.0,542.3333333333334,6
43,1150.0,Apartment,Residential,3.0,3.0,8900000.0,Dhaka,Rampura,0,2,2,0,4,0,3,Dhaka,Khilgaon,0,7.048386408721883,6.0,1.0,383.3333333333333,11
44,1522.0,Apartment,Residential,3.0,3.0,11000000.0,Dhaka,Mirpur,0,2,2,0,2,0,4,Dhaka,Mirpur,0,7.328437352895162,6.0,1.0,507.3333333333333,10
45,1120.0,Apartment,Residential,3.0,3.0,6200000.0,Dhaka,Mohammadpur,0,2,1,0,3,0,3,Dhaka,Mohammadpur,0,7.02197642307216,6.0,1.0,373.3333333333333,9
46,2215.0,Apartment,Residential,4.0,3.0,22000000.0,Dhaka,Bashundhara R-A,0,2,2,0,3,0,4,Dhaka,Bashundhara R/A,0,7.703459047867175,7.0,1.3333333333333333,738.3333333333334,11
47,1400.0,Apartment,Residential,3.0,3.0,12000000.0,Dhaka,Bashundhara R-A,0,1,2,0,3,0,3,Dhaka,Bashundhara R/A,0,7.244941546337007,6.0,1.0,466.6666666666667,9
48,1170.0,Apartment,Residential,3.0,3.0,8900000.0,Dhaka,Rampura,0,2,2,0,4,0,3,Dhaka,Khilgaon,0,7.065613363597717,6.0,1.0,390.0,11
49,7200.0,Building,Residential,0.0,20.0,49000000.0,Dhaka,Badda,0,0,2,0,1,0,3,Dhaka,Badda,0,8.881975184248867,20.0,0.0,360.0,6
50,2120.0,Apartment,Residential,0.0,3.0,24000000.0,Dhaka,Bashundhara R-A,0,1,2,0,3,0,3,Dhaka,Bashundhara R/A,0,7.659642954564682,3.0,0.0,706.6666666666666,9
51,800.0,Apartment,Residential,2.0,2.0,4250000.0,Dhaka,Mohammadpur,0,1,1,0,2,0,3,Dhaka,Mohammadpur,0,6.68586094706836,4.0,1.0,400.0,7
52,1650.0,Apartment,Residential,3.0,3.0,11700000.0,Dhaka,Rampura,0,0,2,0,2,0,3,Dhaka,Khilgaon,0,7.409136443920128,6.0,1.0,550.0,7
53,1150.0,Apartment,Residential,0.0,3.0,9000000.0,Dhaka,Bashundhara R-A,0,1,2,0,3,0,3,Dhaka,Bashundhara R/A,0,7.048386408721883,3.0,0.0,383.3333333333333,9
54,1480.0,Apartment,Residential,0.0,3.0,13500000.0,Dhaka,Badda,0,0,2,0,5,0,4,Dhaka,Badda,0,7.300472814267799,3.0,0.0,493.3333333333333,11
